index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz]
0, 2023/10/17 23:37:05.382, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:37:05.383, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:37:05.385, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:37:05.387, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:37:15.389, 57.10 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:37:15.391, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:37:15.393, 42.98 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:37:15.395, 58.53 W, 1290 MHz, 877 MHz, 1290 MHz
0, 2023/10/17 23:37:25.397, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:37:25.398, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:37:25.400, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:37:25.401, 71.62 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:37:35.404, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:37:35.406, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:37:35.407, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:37:35.409, 73.08 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:37:45.412, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:37:45.413, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:37:45.415, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:37:45.416, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:37:55.419, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:37:55.420, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:37:55.422, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:37:55.423, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:38:05.426, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:38:05.428, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:38:05.429, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:38:05.431, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:38:15.433, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:38:15.435, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:38:15.437, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:38:15.439, 70.65 W, 1530 MHz, 877 MHz, 1530 MHz
